Original Binary String Length,3-RLL and Knuth,3-RLL and Knuth with Skips,3-RLL and Knuth by blocks,6-RLL with encodings and Knuth
617,93.0,87.0,45.0,97.0
618,92.0,86.0,44.0,96.0
619,93.0,87.0,45.0,97.0
620,92.0,86.0,44.0,96.0
621,93.0,87.0,45.0,97.0
622,92.0,86.0,44.0,96.0
623,93.0,87.0,45.0,97.0
624,92.0,86.0,44.0,96.0
625,93.0,87.0,45.0,97.0
626,92.0,86.0,44.0,96.0
627,93.0,87.0,45.0,99.0
628,92.0,86.0,44.0,98.0
629,93.0,87.0,45.0,99.0
630,92.0,86.0,44.0,98.0
631,93.0,87.0,45.0,99.0
632,92.0,86.0,44.0,98.0
633,93.0,87.0,45.0,99.0
634,92.0,86.0,44.0,98.0
635,93.0,87.0,45.0,99.0
636,92.0,86.0,44.0,98.0
637,93.0,87.0,45.0,101.0
638,92.0,86.0,44.0,100.0
639,93.0,87.0,45.0,99.0
640,92.0,86.0,44.0,98.0
641,97.0,91.0,47.0,101.0
642,96.0,90.0,46.0,100.0
643,97.0,91.0,47.0,101.0
644,96.0,90.0,46.0,100.0
645,97.0,91.0,47.0,101.0
646,96.0,90.0,46.0,100.0
647,97.0,91.0,47.0,101.0
648,96.0,90.0,46.0,100.0
649,97.0,91.0,47.0,101.0
650,96.0,90.0,46.0,100.0
651,97.0,91.0,47.0,101.0
652,96.0,90.0,46.0,100.0
653,97.0,91.0,47.0,101.0
654,96.0,90.0,46.0,100.0
655,97.0,91.0,47.0,101.0
656,96.0,90.0,46.0,100.0
657,97.0,91.0,47.0,101.0
658,96.0,90.0,46.0,100.0
659,97.0,91.0,47.0,103.0
660,96.0,90.0,46.0,102.0
661,97.0,91.0,47.0,103.0
662,96.0,90.0,46.0,102.0
663,97.0,91.0,47.0,103.0
664,96.0,90.0,46.0,102.0
665,97.0,91.0,47.0,103.0
666,96.0,90.0,46.0,102.0
667,97.0,91.0,47.0,103.0
668,96.0,90.0,46.0,102.0
669,97.0,91.0,47.0,105.0
670,96.0,90.0,46.0,104.0
671,97.0,91.0,47.0,105.0
672,96.0,90.0,46.0,104.0
673,101.0,95.0,49.0,105.0
674,100.0,94.0,48.0,104.0
675,101.0,95.0,49.0,105.0
676,100.0,94.0,48.0,104.0
677,101.0,95.0,49.0,105.0
678,100.0,94.0,48.0,104.0
679,101.0,95.0,49.0,107.0
680,100.0,94.0,48.0,106.0
681,101.0,95.0,49.0,105.0
682,100.0,94.0,48.0,104.0
683,101.0,95.0,49.0,107.0
684,100.0,94.0,48.0,106.0
685,101.0,95.0,49.0,107.0
686,100.0,94.0,48.0,106.0
687,101.0,95.0,49.0,107.0
688,100.0,94.0,48.0,106.0
689,101.0,95.0,49.0,107.0
690,100.0,94.0,48.0,106.0
691,101.0,95.0,49.0,107.0
692,100.0,94.0,48.0,106.0
693,101.0,95.0,49.0,107.0
694,100.0,94.0,48.0,106.0
695,101.0,95.0,49.0,107.0
696,100.0,94.0,48.0,106.0
697,101.0,95.0,49.0,107.0
698,100.0,94.0,48.0,106.0
699,101.0,95.0,49.0,107.0
700,100.0,94.0,48.0,106.0
701,101.0,95.0,49.0,109.0
702,100.0,94.0,48.0,108.0
703,101.0,95.0,49.0,109.0
704,100.0,94.0,48.0,108.0
705,105.0,99.0,51.0,109.0
706,104.0,98.0,50.0,108.0
707,105.0,99.0,51.0,109.0
708,104.0,98.0,50.0,108.0
709,105.0,99.0,51.0,109.0
710,104.0,98.0,50.0,108.0
711,105.0,99.0,51.0,111.0
712,104.0,98.0,50.0,110.0
713,105.0,99.0,51.0,111.0
714,104.0,98.0,50.0,110.0
715,105.0,99.0,51.0,111.0
716,104.0,98.0,50.0,110.0
717,105.0,99.0,51.0,111.0
718,104.0,98.0,50.0,110.0
719,105.0,99.0,51.0,111.0
720,104.0,98.0,50.0,110.0
721,105.0,99.0,51.0,113.0
722,104.0,98.0,50.0,112.0
723,105.0,99.0,51.0,111.0
724,104.0,98.0,50.0,110.0
725,105.0,99.0,51.0,113.0
726,104.0,98.0,50.0,112.0
727,105.0,99.0,51.0,113.0
728,104.0,98.0,50.0,112.0
729,105.0,99.0,51.0,113.0
